timestamp_s,channel,rail_name,voltage_v,current_a,power_w
17855.522337,2,VDD_CPU_GPU_CV,4.9120,2.3520,11.5530
17855.523680,3,VDD_SOC,4.9360,0.7440,3.6724
17855.540759,1,VDD_IN,4.9520,4.0880,20.2438
17855.542305,2,VDD_CPU_GPU_CV,4.9120,2.3680,11.6316
17855.543647,3,VDD_SOC,4.9360,0.7520,3.7119
17855.560827,1,VDD_IN,4.9520,4.1040,20.3230
17855.562245,2,VDD_CPU_GPU_CV,4.9120,2.3760,11.6709
17855.563604,3,VDD_SOC,4.9360,0.7520,3.7119
17855.580905,1,VDD_IN,4.9520,4.1200,20.4022
17855.582385,2,VDD_CPU_GPU_CV,4.9120,2.3840,11.7102
17855.583658,3,VDD_SOC,4.9360,0.7520,3.7119
17855.600973,1,VDD_IN,4.9520,4.1280,20.4419
17855.602488,2,VDD_CPU_GPU_CV,4.9120,2.3920,11.7495
17855.603863,3,VDD_SOC,4.9360,0.7520,3.7119
17855.621040,1,VDD_IN,4.9440,4.1440,20.4879
17855.622559,2,VDD_CPU_GPU_CV,4.9040,2.4000,11.7696
17855.623903,3,VDD_SOC,4.9360,0.7520,3.7119
17855.641109,1,VDD_IN,4.9440,4.1520,20.5275
17855.642579,2,VDD_CPU_GPU_CV,4.9040,2.4080,11.8088
17855.643907,3,VDD_SOC,4.9360,0.7520,3.7119
17855.661190,1,VDD_IN,4.9440,4.1600,20.5670
17855.662643,2,VDD_CPU_GPU_CV,4.9040,2.4240,11.8873
17855.664043,3,VDD_SOC,4.9360,0.7600,3.7514
17855.681264,1,VDD_IN,4.9440,4.1760,20.6461
17855.682728,2,VDD_CPU_GPU_CV,4.9040,2.4240,11.8873
17855.683998,3,VDD_SOC,4.9360,0.7600,3.7514
17855.701348,1,VDD_IN,4.9440,4.1840,20.6857
17855.702843,2,VDD_CPU_GPU_CV,4.9040,2.4320,11.9265
17855.704195,3,VDD_SOC,4.9360,0.7600,3.7514
17855.721413,1,VDD_IN,4.9440,4.1920,20.7252
17855.722934,2,VDD_CPU_GPU_CV,4.9040,2.4400,11.9658
17855.724307,3,VDD_SOC,4.9360,0.7600,3.7514
17855.741498,1,VDD_IN,4.9440,4.2000,20.7648
17855.742955,2,VDD_CPU_GPU_CV,4.9040,2.4480,12.0050
17855.744429,3,VDD_SOC,4.9360,0.7600,3.7514
17855.761586,1,VDD_IN,4.9440,4.2080,20.8044
17855.763194,2,VDD_CPU_GPU_CV,4.9040,2.4480,12.0050
17855.764526,3,VDD_SOC,4.9360,0.7600,3.7514
17855.781665,1,VDD_IN,4.9440,4.2160,20.8439
17855.783164,2,VDD_CPU_GPU_CV,4.9040,2.4560,12.0442
17855.784507,3,VDD_SOC,4.9360,0.7600,3.7514
17855.801755,1,VDD_IN,4.9440,4.2240,20.8835
17855.803263,2,VDD_CPU_GPU_CV,4.9040,2.4640,12.0835
17855.804619,3,VDD_SOC,4.9360,0.7600,3.7514
17855.821826,1,VDD_IN,4.9440,4.2320,20.9230
17855.823248,2,VDD_CPU_GPU_CV,4.9040,2.4640,12.0835
17855.824563,3,VDD_SOC,4.9360,0.7600,3.7514
17855.841898,1,VDD_IN,4.9440,4.2400,20.9626
17855.843440,2,VDD_CPU_GPU_CV,4.9040,2.4720,12.1227
17855.844729,3,VDD_SOC,4.9360,0.7600,3.7514
17855.861982,1,VDD_IN,4.9440,4.2480,21.0021
17855.863532,2,VDD_CPU_GPU_CV,4.9040,2.4800,12.1619
